教材順,カード順,異名,名前,時代,身分,生没年,開戦前の石高,開戦後の石高,兵力,イラスト説明1キャラ,イラスト説明1のタイトル,イラスト説明1,イラスト説明2キャラ,イラスト説明2のタイトル,イラスト説明2,鎧紹介タイトル,鎧紹介キャラ,鎧紹介内容,効果名1,効果名2,どうしてQ,どうしてQキャラ,どうしてA,関ヶ原ではQ,関ヶ原ではQキャラ,関ヶ原ではA,関ヶ原の後Q,関ヶ原の後Qキャラ,関ヶ原の後A,クイズ,コメント,カード画像,東西,パラメータ1（知恵）,パラメータ2（忠義）,パラメータ3（勇気）,パラメータ4（武力）,パラメータ5（魅力）,パラメータ6の名前,パラメータ6の値,レーダーチャート解説キャラ,レーダーチャート解説,家紋名,文字数
11,2,三成に過ぎたる者,島左近,戦国時代,武士・西軍,1540～1600(61/61才),石田家臣20000石,なし,石田三成麾下,スクナ1,杭瀬川の戦い,左近と明石全登は協力して森の中で奇襲をしかけたようだな。,サリー2,誉れ高き老将,左近は関ヶ原の時にはもう60才ぐらいになってたのだけど、とても強くて敵も驚いたのよ。,赤色の前立(名称不明),ジェンキンス1,左近の兜の前立ては形こそ普通だが、色は独特な赤色をしていた。,杭瀬川の戦い<左近>,君臣禄を分かつ,島左近さんはどうして西軍についたの？,シオリン6,私が仕えていた石田三成殿が西軍として戦ったからだ。三成殿がまだ大身となる前に、この私を俸禄の半分も割いて私を招いてくれたのだ。その期待に応えるためにも三成殿が西軍で勝つよう従軍したという訳だ。,関ヶ原本戦ではどんな活躍をしたの？,シオリン8,あまり前線に立って戦う人ではなかった三成殿を補佐する形で兵を率いた。少しでも勝ち目を作るために、明石全登殿と共に杭瀬川にいた東軍に奇襲をかけて勝利。西軍の方々を勇気づけたぞ。,それで、関ヶ原の戦いでは最後どうなったの？,シオリン6,戦いは西軍有利で進んでいたのだが、ご存知の通り、小早川秀秋たちの裏切りで西軍は崩壊。私は主君を守るために奮戦。存分に暴れて東軍に恐怖を植え付けてやったが、最後は討ち取られてしまった。,俸禄とはなんのことか分かるだろうか？,三成殿に高禄で召し抱えて頂いた御恩、今返す時！我が武に身の毛を逆立て慄くがよい！,https://highsto.net/assets/images/cards/gw/島左近.webp,西軍,4,5,4,4,4,もったいなさ,5,シオリン8,こうやって見ると、左近さんって凄いのね！  三成に過ぎたる者とよく言われるし、関ヶ原の後も活躍する姿を見てみたかったけど、でも、三成さんと一緒に関ヶ原を戦ったからこそ、みたいなところもあるよね。,三つ柏,445
12,17,義挙か暴挙か,石田三成,戦国時代,武士・西軍,1560～1600(41/41才),近江国佐和山城194000石,なし,6000,スクナ1,大一大万大吉の旗,一人が皆のために、皆が一人のために、か。それが本当になれば皆幸福になるだろう。,サトリ1,強い意志,アナタからは、敵を打ち倒し主君の世を守ろうという熱い心が感じられるわ。,乱髪天衝脇立兜、鉄錆地塗当世小札黒糸威二枚胴,ジェンキンス1,天高く伸びる脇立と振り乱した髪模様は、まるで鬼のように見えるな。,文治派<成>,内府ちがいの条々,石田三成さん！  どうして西軍を組織したのか聞いてもいいですか？,シオリン8,もちろんだ。関ヶ原の戦いというのは、文禄・慶長の役での諍いや太閤様つまりは豊臣秀吉様亡き後の政治運営で私を含めた五奉行や徳川家康たち五大老がそれぞれ分裂したことが発端だったのだ。東軍西軍と分かれたのは偶然だったと言ってもいいだろう。,それでそれでっ？,シオリン8,私は、幼い頃よりの友、大谷吉継と相談し、毛利輝元殿を総大将にかつぎ上げて決起。太閤様の方針をないがしろにして好き勝手していた家康を糾弾した。そして軍を集めていた大垣城を出て西軍を率い、関ヶ原で決戦を待ったのだ。,最後はどうなったの？,シオリン5,関ヶ原に布陣したのはいいものの、あまりにも多かった裏切り者たちのせいで、私たちは耐えきれず敗走。私は捕縛されて、六条河原で斬首されたのだが……、首が離れるその瞬間まで豊臣家の永遠の栄光を諦めることはなかった。,関ヶ原の戦いの原因は何か答えてみよ,豊家をないがしろにする家康よ、必ずやこの私が討ち取ってくれる！,https://highsto.net/assets/images/cards/gw/石田三成.webp,西軍,3,5,4,1,5,真面目さ,5,シオリン7,三成さんって、すごく真面目な人よね。自分が仕えていた豊臣家にも真摯に向き合っていて……でも真面目過ぎて他の人たちから理解してもらえなかったのはつらいわ。そういう所が私は好きなんだけどね。,大一大万大吉,485
13,15,最期の一花,大谷吉継,戦国時代,武士・西軍,1565～1600(36/36才),越前国敦賀城50000石,なし,1500,スクナ1,辞世の句のやり取り,隣で戦っていた大谷吉継と辞世の句を交換し合ったらしいぞ。,サリー1,輿に乗っている様子,吉継は長年の病のせいで、足腰が弱っていたから輿に乗って戦ったそうよ。,黒塗黒糸威伊予札二枚胴、白頭巾,ジェンキンス1,吉継は病気で醜くなってしまった顔を頭巾で隠して戦ったとよく言われるな。,文治派<継>,北国調略,大谷さん！  大谷さんがどうして西軍についたのか、聞いてもいい？,シオリン8,構わぬ。西軍についたのはただ一つ。我が友の石田三成が亡き豊臣秀吉様の方針を無視してよからぬことをしている徳川家康と、その周りの奴らを糾弾すると言ったからだ。私は勝ち目がないと三成に諭したが、三成の心は固く、それゆえ私も賭けに出てみようと思ったのだ。,友人の三成さんのために、関ヶ原に行ったのね。,シオリン6,いかにも。私は病にかかっており、先も長くなかったからな。私の領地から近い北陸の諸侯が西軍に刃向かわないようにして、関ヶ原に赴いた。ここが最期の見せ場だと思い、全身全霊で戦ったぞ。,最後にどうなったか聞いてもいい？,シオリン5,過ぎたことだからな。気にするでない。隣に布陣した平塚為広殿と共に、死力を尽くして戦い続けたが、あの小早川秀秋が裏切って、私の陣に押し寄せたせいで、ついに耐えきれなくなり、自害するしかなくなってしまった。三成よ、すまない……。,我が友と言えば、誰か分かるか？,友のため、必ず勝つ！,https://highsto.net/assets/images/cards/gw/大谷吉継.webp,西軍,5,5,4,3,5,友情,5,シオリン7,やっぱり、関ヶ原といえば吉継さんよね。豊臣家への忠義だけじゃなくて、三成さんとのお話とか聞いていてワクワクしたわ。裏切りをする秀秋さんの対処を自分で引き受けたし、三成さんにとっては最高の友達だったと思うわ。,対い蝶,513
14,5,怪力の雷鳥,平塚為広,戦国時代,武士・西軍,？～1600(？/？才),美濃国垂井城10000石,なし,大谷吉継麾下,スクナ2,辞世の句のやり取り,隣で戦っていた大谷吉継と辞世の句を交換し合ったんだって……。,ジェンキンス1,平塚の子孫は？,為広の子孫には女性運動家の平塚らいてうがいる。,,ジェンキンス1,,垂井城主,辞世の返歌,平塚為広さんはどうして西軍についたんですか？,ハマボウ3,亡くなってしまった豊臣秀吉様の馬廻だった私は、そのまま秀頼様の臣下になっていたのです。西軍の大谷吉継さんとは昔から御縁があり、関ヶ原からほど近い垂井城の城主になったこともあって西軍に属したのですよ。,関ヶ原当時は、どんな活躍をしていたんですか？,ハマボウ3,吉継さんと一緒に石田三成殿の説得をしたのですが、意志は固く、関ヶ原に赴きます。直前の伏見城の戦いで活躍した後、裏切りが危惧された小早川秀秋を暗殺しようともしたのです。,そんな計画が……、それは上手くいったんですか？,ハマボウ1,上手くいけば良かったのですが、露見してしまい、結局、当の秀秋に横から大軍で突っ込まれて、私や隣の吉継さんの陣は崩壊。吉継さんと辞世の句を交換し合って……その後は散り散りになってしまいました。,私の子孫といえば、誰か分かりますか？,刑部殿、共に冥土の果てまで戦い抜きましょう！皆の者、往くぞ！,https://highsto.net/assets/images/cards/gw/平塚為広.webp,西軍,3,4,4,4,4,機転,5,ハマボウ1,話を聞いた感じ、大谷吉継さんの隣でずっと奮戦していたみたいだ。それにしても死にかけている戦いの中で歌を送り合えるなんて日頃から教養がないとできないよね。僕もそういう人になりたいものだ。,亀甲梅鉢,454
15,9,薬問屋から水軍大将へ,小西行長,戦国時代,商人・武士・ｷﾘｼﾀﾝ・水軍・西軍,1558～1600(43/43才),肥後国宇土城200000石,なし,6000,サトリ1,十字架を抱えて,キリスト教って仏教徒みたいに自害できないって聞いたけど、本当かしらね？,サリー1,海沿いの城,行長は自身の水軍を動かしやすいように、海沿いに城を建てていたのよ。,,ジェンキンス1,,文治派<行>,宇土城籠城,小西行長さんは、どうして西軍についたんですか？,ハマボウ3,関ヶ原の直前までは徳川家康殿に接近しておったのじゃが、それ以上に朝鮮の役での戦後処理などを一緒にやった石田三成殿や大谷吉継殿との縁を大切にして肩を持つことに決めたのじゃ。,関ヶ原の戦いでは、どんな活躍をしたんですか？,ハマボウ3,関ヶ原の戦いは大一番だと思って、国許の兵を全て引き連れて参戦したのじゃ。その甲斐あって、宇喜多秀家殿と共に西軍の主力として活躍したぞ。皆、デウス様を信じて戦ったのじゃが……。,もしかして……。,ハマボウ4,察しがついているかもしれないが、6時間戦い続けた我が軍は力尽きてしまったのじゃ。逃げはしたもののすぐにワシは捕縛され、六条河原に突き出されて石田三成殿や安国寺恵瓊殿と共に斬首されてしまったぞ。ワシはキリシタンだから切腹できなかったのじゃ。,ワシのようなキリスト教を信じていた者をなんというか、知っておるか？,皆の者、ここは耐えるのじゃ！必ずや我らがデウス様が救ってくださりますぞ！,https://highsto.net/assets/images/cards/gw/小西行長.webp,西軍,3,4,3,3,2,水軍,5,ハマボウ2,そういえば、行長さんが作った城の中には、堀に船が入りやすい構造になっている城があるよね。もしかして普通の城と違って水軍の船が行き来しやすいようになっているのかな？  だとしたら、行長さんって陸よりも海の戦いの方が得意なのかも？,中結び祇園守,490
16,12,少数精鋭の極致,島津義弘,戦国・江戸時代,武士・僧・西軍・薩摩藩,1535～1619(66/85才),大隅国帖佐館100000石,大隅国加治木城100000石,1500,スクナ1,島津の退き口,義弘は自害しようとしたらしいが、甥の豊久に止められて、薩摩に帰った。,サリー1,伏見城,義弘は東軍につこうとしたのだけど、受け入れてもらえなかったのよ。,,ジェンキンス1,,伏見城の戦い,島津の退き口<捨>,島津義弘さんは、どうして西軍についたんですか？,ハマボウ3,薩摩からはっばっ来たおいだが、兄貴ん義久共々東軍が勝つち思うちょったで、東軍につこうとしたんじゃが、訪れた伏見城で追い返されてしもてな……、しょんなし西軍につっしかなかったんさ。,じゃあ、関ヶ原では小早川秀秋さんとかと同じく裏切ったんですか？,ハマボウ1,いんや。裏切りは薩摩隼人の戦い方に反すっでせん。国元ん一揆のせいでいっちょん兵はおらんやったが、本州ん雑魚どもを蹴散らしてやった。数が少なかせいで大勢には影響なかったがな。,関ヶ原の最後の話が有名だって聞きましたけど、どんなことがあったんですか？,ハマボウ2,味方が勝手に退却し始めたせいで、東軍の大軍の中に取り残されてしもたおいは自害も考えたが、甥ん豊久が生き延びよと説得してくれたおかげで、目が覚めた。敵ん真っ只中を突破しっせぇ、薩摩に帰ったぞ。,おいん故郷はどっか分かっか？,こうなっては仕方あるまい。豊久よ、薩摩隼人の恐ろしさ、存分に刻み込んでやろう。,https://highsto.net/assets/images/cards/gw/島津義弘.webp,西軍,4,3,4,5,4,年齢,5,ハマボウ3,話している時には全然感じなかったけど、義弘さんって関ヶ原に来た人の中では、かなり高齢だったんだね。関ヶ原の時にあんな感じだったんなら、昔は相当すごい人だったのでは……？,丸に十文字,458
17,3,無双の美童,島津豊久,戦国時代,武士・西軍,1570～1600(31/31才),島津家臣28000石,なし,島津義弘麾下,スクナ2,島津の退き口,豊久は薩摩で影響力のあった伯父を生き残らせるために奮闘したの……。,サリー2,捨て奸,捨て奸っていうのは、座って安定した状態で敵を銃殺するやり方なんだけど、こんなことしたら逃げられないわ……。,,未定,,島津の退き口<奸>,ー,島津豊久さんは、どうして西軍についたんですか？,ハマボウ3,おいん親父は島津家久ちゅう戦いん天才やったが、はよにのうなってしもてな、おいは家久ん兄にあたっ義弘殿ん下で育ったんじゃ。じゃっで伯父貴が西軍につっなら西軍につっしかなかど。,関ヶ原ではどうなったんですか？,ハマボウ3,おいん故郷では直前に一揆があったせいで兵が少なって大勢に影響を及ぼせんやったが、伯父貴と一緒に夜襲ん提案をしたりしたぞ。関ヶ原では乱戦やったで伯父貴と離れてしもたりしたな。,その後、どうなったんですか？  薩摩にはたどり着いたんですか？,ハマボウ1,いや、合流した時には、西軍が退却を始めちょって、伯父貴は弱気になって腹を切ろうとしよったで、おいは伯父貴が薩摩に帰るっごつ、鉄砲を撃ちまったぞ。座ってやっやり方が捨て奸ち呼ばれちょっな。安定すっどこいが。,おいたちが使うた、薩摩ならではん戦法はなんじゃ？,伯父貴こそこれからの島津に必要なお人。おいが必ずここで食い止めて見せようぞ！,https://highsto.net/assets/images/cards/gw/島津豊久.webp,西軍,2,5,5,4,4,恐ろしさ,5,ハマボウ4,よく考えたら捨て奸って、やる人ほぼ確実に死んじゃうよね……。それを自ら提案した豊久って……。薩摩の人が考えることはすごいなぁ。,丸に十文字,430
18,23,戦乱は終わらず,大野治長,戦国/江戸時代,武士・東軍,1569～1615(32/47才),丹後国大野城10000石,豊臣家家臣15000石,徳川家康麾下,スクナ1,戦乱は終わらず,この雰囲気、まだ何か起こるな……。,サリー1,大坂城,治長は大坂城にいた淀殿と密接な関係にあったのよ。,,未定,,淀殿の近侍,家康暗殺計画,治長さんは、どうして東軍へ？,シュン6,私は淀殿の近侍ということで、本来は西軍として参加すべき立場だった……ゆえに、秀頼公をないがしろにする徳川家康を暗殺しようとしたのだが、露見。徳川の下で蟄居させられてしまったのだ。,関ヶ原の時も？,シュン7,否、私は関ヶ原の直前に赦されたから参戦した。石田三成と仲違いをして東軍についた福島正則と共に戦ったぞ。ただ、あまり大きな戦果は挙げられなかった。,でも、それで終わりじゃなかったんでしょ？,シュン5,その通り。私は関ヶ原が終わった後、徳川の使者として大坂に入城。そのまま帰らなかった。そして14年後、後藤又兵衛、明石全登、毛利勝永、長宗我部盛親そして真田信繁と共に大坂の陣を戦ったぞ。,私がお傍についていた相手は誰か、答えてみよ。,…たとえ徳川に与そうとも、心は豊臣にあり…！治部殿よ、黄泉の国から見ておれ。,https://highsto.net/assets/images/cards/ge/大野治長.webp,東軍,2,4,2,1,2,淀殿,5,シュン7,話の最初でも出てきていたけど、治長って淀殿と、とても仲が良かったんだな。そういえば、豊臣秀頼って淀殿と大野治長の子供だったかもしれないって話、聞いたことあるぞ。治長と淀殿は切っても切れない関係なんだな。,丸に三つ鱗,417
19,19,笹の才蔵,可児才蔵,戦国/江戸時代,武士・東軍・広島藩,1554～1613(47/60才),福島家家臣750石,福島家家臣1250石,福島正則麾下,サリー2,笹を背負って,才蔵と言えば、笹よね。討ち取った敵の首に笹を刺したと言われるわ。,ジェンキンス1,三叉槍,槍の達人だった才蔵は十文字の槍を使っていたようだ。,伝可児才蔵甲冑(名称不明),ジェンキンス2,槍の達人だった才蔵は十文字の槍を使っていたようだ。,愛宕権現の加護,十七の首笹,可児才蔵さんは、どうして東軍についたんですか？,ハマボウ3,フフ、私は当時福島正則殿の配下だったからな。石田三成と敵対して東軍についた福島正則に従う私が、東軍につくのは必然だったという訳だ。分かるかな？,それで関ヶ原の戦いでは、どんな活躍をしたんですか？,ハマボウ3,よくぞ聞いてくれた。私は先鋒を任された正則殿の、まさに先鋒隊長として戦い、前哨戦と合わせて20もの敵兵を討ち取ったのだ。特に本戦での17の首級は首実検に持っていくのが大変だったから笹を刺して示したぞ。笹を首や口に添えるのは手向けの意味もあったのだ。,凄いですね！  その後も正則さんに従ったんですか？,ハマボウ3,いかにも。正則殿が広島に転封になったのと同じく付いていき、そのまま同地で天寿を迎えた。私は愛宕権現を深く信仰していたからな、愛宕様の縁日に死ぬと決めていたのだ。,私が笹を刺した首級の数は、いくつか答えてみてくれ。,愛宕様、どうか黄泉の国にて私の笹を数え奉り給え！,https://highsto.net/assets/images/cards/ge/可児才蔵.webp,東軍,2,2,4,5,4,首級,5,ハマボウ3,才蔵さんが倒した敵の数が17って、もしかして一人で敵を倒した数としては一番多いんじゃないかな？  そうじゃなかったとしても凄いよね。講談で人気があるのもうなずけるよ。,丸に違い笹,456
20,32,資性強暴,福島正則,戦国/江戸時代,武士・東軍・広島藩,1561～1624(40/64才),尾張国清洲城200000石,安芸国広島城498300石,6000,スクナ1,小山評定,正則は家康が関ヶ原に向かうかを決める時に、東軍につくと宣言したぞ,サトリ1,豪放磊落な表情,アナタのその表情……、あんまり乱暴に生きていると大変なことになるわよ？,黒漆塗桃形大水牛脇立兜、鉄錆地塗蓬糸威革包菱綴桶側二枚胴,ジェンキンス2,福島正則は朝鮮の役での仲違いをきっかけに兜を交換して仲直りしたと言われるぞ。,小山評定<第一声>,武断派,正則さんは、どうして東軍に？  元々、石田三成さんとかと働いていたんでしょ？,シュン7,おいおいおい、それは聞き捨てならねぇな。俺様はあんな政治野郎とは違う。朝鮮でも、ちゃんと前線にいって戦ったんだぞ！  それなのに三成の野郎たちは後ろでぬくぬくと見ているだけで認めようとしねぇ！  だから、アイツらを倒すために東軍にしたのさ！,てことは関ヶ原でも全力で戦ったってことだよな？,シュン5,そうだ！  俺様、徳川家康にとっちゃあ外様なのに栄えある先鋒の役を任せられたんだぜ！  当日は濃霧だったから井伊直政とか松平忠吉の野郎どもに遅れを取ることになってしまったがな、まあ、関ヶ原まで東軍を先導する役割の方は果たせたから許してやるか！,そんなに活躍したんなら、関ヶ原の報酬もウマかったんじゃない？,シュン8,たしかにな。関ヶ原の直後は毛利輝元の領地だった広島を丸々もらったな。だが、この広島城が雨漏りしちまってよ、直そうと何度も願いを徳川に出したんだが、許されなくて、勝手にやったら、見せしめに改易されちまった……。,俺様が関ヶ原の後にもらった場所はどこだ？,ワーハッハッハッ！この俺様が東軍の先鋒たぁ、奴らも仰天するに違いねぇ！,https://highsto.net/assets/images/cards/ge/福島正則.webp,東軍,1,1,3,5,3,酒癖,1,シュン5,そういえば、後藤又兵衛って人から聞いたけど正則ってお酒で失敗することが多かったらしいぞ。なんでも秀吉からもらった家宝を酒の席で賭けをふっかけて負けて取られちゃったんだって。,福島沢瀉,542
21,25,土より出でて佐幕,山内一豊,戦国/江戸時代,武士・東軍・土佐藩,1545～1605(56/61才),遠江国掛川城68000石,土佐国高知城222000石,2000,スクナ2,小山評定,一豊は、皆の心をまとめるために、真っ先に家族も領地もなげうったの……。,サリー1,立派な馬,若い頃に、奥さんがへそくりを貯めていてくれて助かったことがあるのよ。,金箔押御幣後立兜、黒塗濃紺糸威革包菱綴桶側二枚胴,ジェンキンス1,神社にあるようなこの形は神仏にあやかったものだったようだ。,内助の功,小山評定<第二声>,一豊さんは、どうして東軍に？,シュン6,それは関ヶ原の発端になった会津征伐において、徳川家康殿と共に会津まで出撃したからでございます。手前も最初から西軍と敵対していた訳ではなく、ただ単に領地の掛川が家康殿の通り道にあったから従ったまででございます。,それなのに、東軍についたのか？,シュン7,ええ、豊臣秀吉様のご養子、秀次殿が処断されてからというもの、一枚岩では無くなった豊臣家につくのではなく、真っ先に徳川につくと宣言したのでございます。関ヶ原では吉川広家がちゃんと戦わず動かないかどうかの監視をしたのでございます。,そういえば、山内さんって土佐藩の藩主として聞いたことあるような気がするぜ？,シュン6,その通りでございます。関ヶ原の後、小山評定で真っ先に東軍につくと宣言したことで諸侯の意思が固まったことを評価されて、長宗我部盛親の土佐国を丸々いただいたのでございますよ。統治には苦労したのでございますが……。,関ヶ原の後、手前が転封になった先はどこでごさいましょう？,内府殿の義挙のためなら、居城も、大坂にいる妻子も、全て投げうつ所存にございまする！,https://highsto.net/assets/images/cards/ge/山内一豊.webp,東軍,3,1,3,3,2,妻の賢さ,5,シュン8,やっぱり山内一豊といえば、奥さんの千代さんだよな。小山評定の時に家康から評価されたのも、一豊の所に使者として来た人の笠の緒に手紙を仕込んでおいて、他の手紙を箱に入れて開けないまま家康に届けさせたお陰っていう話があるぜ。,丸に土佐柏,524
22,30,狂瀾怒濤,細川忠興,戦国/江戸時代,武士・茶人・東軍・小倉藩,1563～1646(38/84才),丹後国宮津城180000石,豊前国小倉城399000石,5100,サトリ1,最愛の妻の自害,……なるほど、最愛の奥さんのガラシャさんが石田三成のせいで……、それでこんなに怒っているのね……。,スクナ1,天下一の短気,それだけではない。こいつは相当な短気だ。これは恐ろしいことになるぞ。,鳥毛頭立黒手時代塗頭形兜、黒革包濃紺糸威二枚胴具足,ジェンキンス2,関ヶ原で主君を守り通したこの鎧は、戦後細川家中で祀られるようになった。,石田三成襲撃事件,御吉例の具足,忠興さんは、どうして東軍へ？,シュン6,口の利き方に気をつけろ小僧……。関ヶ原のことは思い出したくもない。愛しのガラシャが……石田三成が人質に取ろうとして、拒絶し、炎の中で……。ああ、最期まで誇り高きガラシャ、ガラシャ…………三成ぃぃぃぃ！,こ、怖いな……この人……。そ、それで、関ヶ原では、どんなご活躍を？,シュン7,ガラシャの仇を取るため、日頃は仲が悪かった弟の興元と前線でバッタバッタと三成の兵をなぎ倒してやったわ。我が隊だけで136も討ち取ってやったぞ。アハハハハ！  見てるか、三成？,そ、そんなにご活躍されたなら……領地増えたんじゃないですか？,シュン7,ああ、旧領の加増は叶わなかったが、豊前国を丸々得られることになったぞ。小倉城を大改修して居城にしたが、32年後に肥後熊本に転封になった。覚えておけ。,俺の最愛の妻の名を答えよ。答えられなければ、どうなるか。分かっているな？,愛しの我が妻を追い込んだ三成よ、地獄の果てまで追い回してくれるわ！,https://highsto.net/assets/images/cards/ge/細川忠興.webp,東軍,4,2,3,3,4,妻への愛,5,シュン6,怖かったぁ……。忠興さん、奥さんのガラシャさんのこと大好きすぎじゃないか？ 他にも忠興さん、茶とか医術とかできて魅力たくさんあると思うけど、やっぱり愛が凄いよ……。,九曜,456
23,24,十字の鋒,細川興元,戦国/江戸時代,武士・ｷﾘｼﾀﾝ・東軍・谷田部藩,1566～1619(35/54才),細川家家臣15000石,下野国茂木陣屋10000石,細川忠興麾下,サリー2,落馬した井戸,戦いの中で井戸に落馬しちゃうなんて、災難だったわね。,ジェンキンス2,槍使い,興元は槍を武器としていたようだ。,(名称不明),ジェンキンス2,赤銅色の胴に対して金色の脇立と赤色の脇楯がアクセントになっているな。,犬猿の兄弟？,井戸への落馬,細川興元さんは、どうして東軍についたの？,シオリン6,僕は、東軍で大きな働きをした細川忠興の弟だからね、いくら兄上から煙たがられても、細川は細川。それに、キリシタンだった僕を陰ながら応援してくれたガラシャ様を西軍の石田三成が殺めてしまったからね。西軍につくつもりはさらさらなかったよ。,関ヶ原では兵士を率いて戦ったってこと？,シオリン5,その通り。細川隊の中でも先鋒として、あの大戦を戦い抜いてみせたよ。兄上もこういう時は、僕を頼りにしていたみたいなんだ。ただ、戦いの途中で僕の愛馬ごと井戸に落ちちゃってね、僕は助かったけど、馬の方は……助けられなかったんだ。,そんなに頑張ったなら、お兄さんも認めてくれたんじゃない？,シオリン8,そうだと良かったんだけどね……。結局打ち解けることはなくて、兄上の領地だった小倉や熊本とは別に、北関東で独立することになったよ。小さい藩だったけど、幕末まで続いたみたいだね。,僕の兄は誰でしょうか？,兄上がやかましかろうとも、細川の先鋒は果たして見せようぞ！,https://highsto.net/assets/images/cards/ge/細川興元.webp,東軍,2,2,4,4,3,兄弟仲,1,シオリン5,興元さんって、結局お兄さんと上手くいかなくて細川家を出ていってしまうみたいだし、お互いの扱いには苦労したみたいね……。,九曜,450
24,21,剣術古今独歩,柳生宗矩,戦国/江戸時代,武士・剣豪・東軍・柳生藩,1571～1646(30/76才),徳川家家臣200石,大和国柳生庄2000石,徳川家康麾下,サリー1,無刀取り,宗矩は無刀取りといって、刀を持っていなくても相手から奪って攻撃に転じることができたらしいわよ。,ジェンキンス2,大和国柳生藩,柳生宗矩は剣豪でありながら、立派な大名にまでなった。,,未定,,柳生新陰流,大和牽制,柳生宗矩さんは、どうして東軍についたんですか？,ハマボウ3,儂は大和国で生まれたのだが、仕えていた筒井や松永が滅んだせいで浪人することになってしまったのだ。父の宗厳と共に放浪していたのだが、京都で無刀取りを徳川家康様に披露した所、気に入って召し抱えて下さったという訳なのだ。,あまり、剣豪の方が実際の戦場で戦ったという話は聞きませんけど、宗矩さんはどうですか？,ハマボウ2,そうだな。儂も大坂の陣では敵兵を瞬殺したが、関ヶ原では戦果は挙げられなかった。むしろ、その直前に旧領の大和国で調略を行い、西軍の後方牽制をしてやったぞ。剣の腕が立つだけでなく頭も回ると評価されたものだ。,宗矩さんって、たしか江戸幕府の……。,ハマボウ1,剣術指南役になったのだ。将軍様だけでなく旗本たちにも儂の柳生新陰流を伝授してやった所、江戸幕府の兵法指南役に推薦され、儂の剣術は全国で教えられることになったのだ。そのお陰で一介の剣豪から大名になることができた。,江戸幕府において、剣術として認められた儂の流派はなんと言うか、分かるか？,我が剣術の前には刀など無用！,https://highsto.net/assets/images/cards/ge/柳生宗矩.webp,東軍,4,4,3,5,4,剣術,5,ハマボウ3,柳生新陰流を始めただけあって剣術の腕はピカイチだから戦場で会ったら思わず逃げちゃう人もいたかも？　剣豪だけど政治や策略でも活躍するなんて凄いよね。,柳生笠,505
25,20,天下を呑取る男,後藤又兵衛,戦国/江戸時代,武士・東軍,1560～1615(41/56才),黒田家家臣,黒田家家臣16000石,黒田長政麾下,サリー2,槍の名人,又兵衛といえば槍の名人として有名よね。この槍にも逸話があるのよ。,スクナ2,長政への対抗心,主君にお前の生き方を認めて欲しかったの？　難しそう……。,(名称不明),ジェンキンス2,又兵衛の兜の前立ては大きく、遠くからでもよく目立ちそうだ。,長政との確執,剛槍一騎打ち！,又兵衛さんは、どうして東軍に？  たしか、主君の黒田長政さんとは仲が悪かったよね？,シュン5,ハハハ、小僧、よく知っておるな。そうだ。戦場で華々しく戦う俺と、後ろで策略ばっか練っている真面目な長政とは折り合いが悪かった。とはいえ、この時はまだ家臣だったからな。反目はしなかった。,ってことは、関ヶ原でも大活躍だったんじゃない！？,シュン8,小僧、よく言うじゃねえか。その通り。俺は石田三成隊にいた敵将と一騎打ちして、この自慢の槍で討ち取ってやった。その敵も槍使いだったが、俺に敵う訳がないってもんだ。,一騎打ちで勝っちゃうなんてカッコイイ！  関ヶ原の後はどうなったの？,シュン8,おう、この活躍で俺は黒田家の城主になるんだが、天下一の槍使いの俺は、そんなもんで留まる器じゃねえからよ、出奔して、大坂城に入ったぞ。大坂の陣でも暴れに暴れてやったのさ。,俺が得意としていた武器といえば……、分かるだろ？,フハハハ、長政よ、これが戦の作法というものじゃ！そこで見ておれ！,https://highsto.net/assets/images/cards/ge/後藤又兵衛.webp,東軍,3,1,5,5,4,主君との仲,1,シュン8,又兵衛も言ってたけど、主君の黒田長政とは仲が悪かったみたいだな。嫌なことがあったというよりは、そもそも気が合う性格じゃなかったみたいだ。それにしても一騎打ちして勝っちゃうなんて凄いよな。,下がり藤,472
